6.9237e-310,-0.0246082,0.409321,-0.290667,-0.906143,0.512345,-0.394562
-1.56666,1.26363,2.45887,-2.02632,-1.3044,2.08485,-2.51668
-1.46507,1.15615,2.34731,-1.88904,-1.32254,2.09416,-2.54644
-1.35893,1.10301,2.22014,-1.72434,-1.3325,2.09404,-2.62241
-1.2681,1.06019,2.1334,-1.61149,-1.35831,2.0944,-2.65959
-1.13833,1.00374,1.98641,-1.43417,-1.36463,2.0944,-2.75797
-1.03177,1.00577,1.89283,-1.28493,-1.38629,2.0944,-2.83499
-0.827317,0.9254,1.61122,-1.02972,-1.33482,2.0944,-2.9775
-0.840195,0.837815,1.50693,-1.08211,-1.1984,2.0944,-2.66228
-0.692696,0.707037,1.19315,-1.04322,-0.987439,2.09436,-2.4184
-0.377125,0.731547,0.661477,-0.773085,-0.807099,2.09416,-2.63514
-0.184579,0.688849,0.311603,-0.791361,-0.566149,2.09329,-2.35284
0.312705,0.805282,-0.707779,-0.739911,-1.61219e-05,2.0944,-2.29593
